source_id,namespace,episode_id,file_path,language,status,notes
dragonball-batalha-dos-deuses-001,dragonball,batalha-dos-deuses-001,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-001-dublado.mkv,pt-BR,extracted,audio extracted to episodes/dragonball/extracted-audio/dragonball-super-batalha-dos-deuses-001-dublado.wav on 2026-03-14; do not rerun extraction for now
dragonball-super-batalha-dos-deuses-002-dublado,dragonball,dragonball-super-batalha-dos-deuses-002-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-002-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-004-dublado,dragonball,dragonball-super-batalha-dos-deuses-004-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-004-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-005-dublado,dragonball,dragonball-super-batalha-dos-deuses-005-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-005-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-006-dublado,dragonball,dragonball-super-batalha-dos-deuses-006-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-006-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-007-dublado,dragonball,dragonball-super-batalha-dos-deuses-007-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-007-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-009-dublado,dragonball,dragonball-super-batalha-dos-deuses-009-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-009-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-010-dublado,dragonball,dragonball-super-batalha-dos-deuses-010-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-010-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-011-dublado,dragonball,dragonball-super-batalha-dos-deuses-011-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-011-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-012-dublado,dragonball,dragonball-super-batalha-dos-deuses-012-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-012-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-013-dublado,dragonball,dragonball-super-batalha-dos-deuses-013-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-013-dublado.mkv,pt-BR,extracted,
dragonball-super-batalha-dos-deuses-014-dublado,dragonball,dragonball-super-batalha-dos-deuses-014-dublado,episodes/dragonball/raw/batalha-dos-deuses/dragonball-super-batalha-dos-deuses-014-dublado.mkv,pt-BR,extracted,
